INSEE_COM;NOM_COM_M;INSEE_DEP;NOM_DEP;CODE_EPCI;NOM_EPCI
55232;HARVILLE;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55236;HAUDAINVILLE;55;MEUSE;200049187;CA du Grand Verdun
55237;HAUDIOMONT;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55239;HAUMONT-PRES-SAMOGNEUX;55;MEUSE;200049187;CA du Grand Verdun
55241;HEIPPES;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55242;HENNEMONT;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55243;HERBEUVILLE;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55244;HERMEVILLE-EN-WOEVRE;55;MEUSE;245501242;CC du Pays d'Étain
55245;HEUDICOURT-SOUS-LES-COTES;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55246;HEVILLIERS;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55247;HORVILLE-EN-ORNOIS;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55248;HOUDELAINCOURT;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55250;INOR;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55251;IPPECOURT;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55252;IRE-LE-SEC;55;MEUSE;245501259;CC du Pays de Montmédy
55253;LES ISLETTES;55;MEUSE;200066116;CC Argonne-Meuse
55254;LES TROIS-DOMAINES;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55255;JAMETZ;55;MEUSE;245501259;CC du Pays de Montmédy
55256;JONVILLE-EN-WOEVRE;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55257;JOUY-EN-ARGONNE;55;MEUSE;200066116;CC Argonne-Meuse
55258;GEVILLE;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55260;JULVECOURT;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55261;JUVIGNY-EN-PERTHOIS;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55262;JUVIGNY-SUR-LOISON;55;MEUSE;245501259;CC du Pays de Montmédy
55263;KŒUR-LA-GRANDE;55;MEUSE;245500327;CC du Sammiellois
55264;KŒUR-LA-PETITE;55;MEUSE;245500327;CC du Sammiellois
55265;LABEUVILLE;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55266;LACHALADE;55;MEUSE;200066116;CC Argonne-Meuse
55267;LACHAUSSEE;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55268;LACROIX-SUR-MEUSE;55;MEUSE;245500327;CC du Sammiellois
55269;LAHAYMEIX;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55270;LAHAYVILLE;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55271;LAHEYCOURT;55;MEUSE;245501184;CC du Pays de Revigny-sur-Ornain
55272;LAIMONT;55;MEUSE;245501184;CC du Pays de Revigny-sur-Ornain
55274;LAMORVILLE;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55275;LAMOUILLY;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55276;LANDRECOURT-LEMPIRE;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55278;LANEUVILLE-AU-RUPT;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55279;LANEUVILLE-SUR-MEUSE;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55280;LANHERES;55;MEUSE;245501242;CC du Pays d'Étain
55281;LATOUR-EN-WOEVRE;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55282;LAVALLEE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55284;LAVINCOURT;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55285;LAVOYE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55286;LEMMES;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55288;LEROUVILLE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55289;LEVONCOURT;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55290;LIGNIERES-SUR-AIRE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55291;LIGNY-EN-BARROIS;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55292;LINY-DEVANT-DUN;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55293;LION-DEVANT-DUN;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55295;LISLE-EN-BARROIS;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55296;L'ISLE-EN-RIGAULT;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55297;LISSEY;55;MEUSE;200066173;CC de Damvillers Spincourt
55298;LOISEY;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55299;LOISON;55;MEUSE;200066173;CC de Damvillers Spincourt
55300;LONGEAUX;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55301;LONGCHAMPS-SUR-AIRE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55302;LONGEVILLE-EN-BARROIS;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55303;LOUPMONT;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55304;LOUPPY-LE-CHATEAU;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55306;LOUPPY-SUR-LOISON;55;MEUSE;245501259;CC du Pays de Montmédy
55307;LOUVEMONT-COTE-DU-POIVRE;55;MEUSE;200049187;CA du Grand Verdun
55310;LUZY-SAINT-MARTIN;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55311;MAIZERAY;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55312;MAIZEY;55;MEUSE;245500327;CC du Sammiellois
55313;MALANCOURT;55;MEUSE;200066116;CC Argonne-Meuse
55315;MANDRES-EN-BARROIS;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55316;MANGIENNES;55;MEUSE;200066173;CC de Damvillers Spincourt
55317;MANHEULLES;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55320;MARCHEVILLE-EN-WOEVRE;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55321;MARRE;55;MEUSE;200049187;CA du Grand Verdun
55322;MARSON-SUR-BARBOURE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55323;MARTINCOURT-SUR-MEUSE;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55324;MARVILLE;55;MEUSE;245501259;CC du Pays de Montmédy
55325;MAUCOURT-SUR-ORNE;55;MEUSE;245501242;CC du Pays d'Étain
55326;MAULAN;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55327;MAUVAGES;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55328;MAXEY-SUR-VAISE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55329;MECRIN;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55330;MELIGNY-LE-GRAND;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55331;MELIGNY-LE-PETIT;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55332;MENAUCOURT;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55333;MENIL-AUX-BOIS;55;MEUSE;245500327;CC du Sammiellois
55334;MENIL-LA-HORGNE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55335;MENIL-SUR-SAULX;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55336;MERLES-SUR-LOISON;55;MEUSE;200066173;CC de Damvillers Spincourt
55338;MILLY-SUR-BRADON;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55339;MOGEVILLE;55;MEUSE;245501242;CC du Pays d'Étain
55340;MOGNEVILLE;55;MEUSE;245501184;CC du Pays de Revigny-sur-Ornain
55341;MOIREY-FLABAS-CREPION;55;MEUSE;200066173;CC de Damvillers Spincourt
55343;MONTBLAINVILLE;55;MEUSE;200066116;CC Argonne-Meuse
55344;MONTBRAS;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
