Zone;CodeZone;I_01_03_4;I_06_01_2;I_07_01_2;I_07_01_3;I_08_08_2;I_10_00_0;I_10_00_1;I_10_00_2;I_12_08_1;I_12_01_5;I_12_05_5;I_13_01_1;I_16_02_6;I_18_03_1;I_18_04_1;I_18_04_2;I_18_05_1;I_18_05_2;I_18_05_3;I_19_01_1;I_20_01_1;I_22_04_3;I_23_02_1;I_23_02_2;I_24_01_5;I_24_01_4;I_27_01_3;I_THD;Avancement_PCAET
CC du Chemin des Dames;240200592;0.264191333684625;11.0984636969463;30.7893375536212;14.2454772496217;2.02422069203488;46.3368482123167;17.3515382607249;67.6183437863062;1.45102631411178;14.7679324894515;0;15.9474671669794;5.59329594089521;NA;0;66.6666666666667;NA;NA;NA;NA;84.6153846153846;0.982611170826642;1.56364656433385;85.4689661998903;5.52689756816507;90.9090909090909;2.86396673388407;34.7822170900693;NA
CC des Trois Rivières;240200600;0.30983753715862;51.0637482033441;25.3414645853109;24.03170919803;3.78736074665196;47.3202197285926;24.1106473618916;52.6242192243555;0.97150896945651;10.333048676345;0.779843006963471;14.4545831605143;14.1548569395742;NA;0;0;11.1111111111111;0;0;0;47.5;21.3802320760696;1.91932258140883;77.4901441072579;7.26051640422925;54.5454545454545;5.79970498133127;27.1983307386265;NA
CC des Portes de la Thiérache;240200634;0.351845038518468;66.0785870818808;22.7690148229255;21.1300226634118;2.28145557362506;50.7300831243441;19.4235734409331;54.9528633349998;0.679459998500509;10.0524475524476;0.680754226206915;9.51515151515152;10.2635708582387;NA;22.2222222222222;12.5;0;0;66.6666666666667;100;100;0.514078963002009;1.56586773889039;76.5462691505635;8.28043058239028;95.4545454545455;4.94618461755657;34.1141234567901;NA
CC du Pays de Lapalisse;240300491;0.426970244373671;53.1532765229669;27.1892683838089;14.1624068898239;2.28204734144083;54.9395703695448;20.039825533435;65.1634340856564;0.326485939162863;11.1183780248528;0.141716559213243;1.48026315789474;6.9009055979009;NA;0;NA;0;0;0;0;12.5;0;1.42626171912416;80.6732488367736;7.06214689265537;100;1.85248765168683;20.2357719002063;NA
CC du Pays de Tronçais;240300558;0.555638736646841;31.6375467966918;26.2256902890698;19.103716196641;2.47237222198687;47.6283145518996;22.2083424250932;61.2973139920465;1.28561882655503;10.8484005563282;0;5.80645161290323;10.6405669632798;50;0;0;0;0;0;0;19.047619047619;3.13517984772877;1.1446513696628;75.5700077809483;9.29121316697637;90.9090909090909;1.56116733104799;43.5814962593516;NA
CC du Val de Cher;240300566;0.408649805952088;23.1093613328993;29.17347442917;14.2563227281654;2.08833811435077;53.0324262994747;18.995554118005;66.3782131647323;0.477613489311663;11.3022113022113;0.24231067805946;25;6.222525403628;NA;0;20;0;0;0;0;46.1538461538462;0;0.648088499044805;88.2802907960071;8.93814801573114;9.09090909090909;3.33326257915188;33.8365079365079;NA
CC du Pays d'Huriel;240300657;0.354412956934325;43.4761134804631;32.5785531011289;10.0875938316779;3.66486555577059;53.3972306010515;18.5900585905069;65.8038668059176;1.00946850617565;15.5720338983051;0;6.66666666666667;5.28646912464295;0;NA;NA;0;0;0;0;0;4.34328725719954e-05;0.61685459240651;86.9144542280632;5.17063081695967;95.4545454545455;1.56428042753484;36.0058859223301;NA
CC Pays Forcalquier et Montagne de Lure;240400440;0.46081552939196;28.163387688583;31.742532341344;14.4184564923392;6.08794051687637;51.886211848352;23.3673478666202;57.5262015084998;1.46244418063528;12.5557461406518;0.32088885219832;14.6815751093826;16.5880658539995;NA;NA;NA;0;0;0;0;22;13.2655783190692;3.20970865243049;75.0869853605213;12.5904941768964;86.3636363636364;1.06998538099968;42.5452552756978;NA
CC du Briançonnais;240500439;0.289126487995954;20.2354883530323;38.6652857011891;11.6275574887632;9.28655576970243;50.4622671187813;26.6320230594624;71.8675263402195;0.245250946583347;9.04809619238477;0.267919568675552;12.4243503025988;20.5682395818297;0;0;0;NA;NA;NA;25;20;63.2247748798868;4.47799497241419;71.1467837583206;10.469211002189;95.4545454545455;1.32906619580022;31.3056587379168;NA
CC du Pays des Ecrins;240500462;0.311719097879134;6.71756031391276;43.9527478546463;11.3797309798259;5.42145002042831;44.3897005710502;21.5981740566467;71.3754254872573;0.254216563826321;10.4221143070601;0.679457531674736;10.9238451935081;11.1506231522126;0;0;0;NA;NA;NA;0;20;59.1399675963927;2.18091698506981;82.3721521146126;8.97934750074828;81.8181818181818;0.850727446061923;19.2232575356954;NA
CA de la Riviera Française;240600551;0.390400047872418;25.612919080414;36.084662990458;19.7886108510407;21.3501468108395;54.371562318415;21.0734208145397;66.1237159334082;0.657496609445323;11.5764951982505;0.55390538865604;8.01123346389772;21.1490080966527;NA;0;0;NA;NA;NA;0;18.9655172413793;43.4853821578996;12.5028036255113;48.1234320349838;12.3528758605374;86.3636363636364;3.66471758816483;54.2181725325395;NA
