dept,siren,raison_sociale,nature_juridique,mode_financ,nb_membres,total_pop_tot,total_pop_mun,dep_com,insee,siren_membre,nom_membre,ptot_2019,pmun_2019
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01025,200077220,Bâgé-Dommartin,4191,4088
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01320,210103206,Replonges,3783,3702
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01159,210101598,Feillens,3372,3254
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01305,210103057,Pont-de-Vaux,2341,2290
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01231,210102315,Manziat,2035,1977
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01337,210103370,Saint-Bénigne,1288,1254
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01323,210103230,Reyssouze,993,975
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01102,210101028,Chevroux,974,957
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01026,210100269,Bâgé-le-Châtel,971,915
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01175,210101754,Gorrevod,882,861
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01094,210100947,Chavannes-sur-Reyssouze,764,750
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01332,210103321,Saint-André-de-Bâgé,764,742
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01402,210104022,Sermoyer,707,678
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01284,210102844,Ozan,686,674
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01352,210103529,Saint-Étienne-sur-Reyssouze,575,568
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01057,210100574,Boz,525,515
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01016,210100160,Arbigny,466,462
